id,nome,idade,cidade
1,Ana Silva,25,Sao Paulo
2,Joao Souza,32,Rio De Janeiro
4,Carlos Pereira,41,Curitiba
5,Fernanda Lima,29,Porto Alegre
6,Bruno Costa,35,Salvador
7,Juliana Rocha,27,Recife
9,Patricia Gomes,22,Manaus
10,Rodrigo Almeida,31,Goiania
13,Maria Oliveira,28,Belo Horizonte
16,Bruno  Costa,35,Salvador
20,Larissa Alves,19,Belem
21,Tiago Ribeiro,52,Sao Luis
22,Priscila   Teixeira,26,Natal
23,Ricardo Santos,38,Joao Pessoa
24,Amanda Costa,24,Maceio
25,Gustavo Lima,33,Teresina
26,Bianca Fernandes,27,Aracaju
28,Sofia Barros,21,Florianopolis
29,Lucas Cardoso,36,Vitoria
30,Isabela Castro,28,Campo Grande
31,Marcos Vinicius,36,Vitoria
33,Rafael Dias,40,Cuiaba
34,Beatriz Moreira,23,Porto Velho
36,Felipe Rocha,34,Macapa
37,Clara Martins,20,Rio Branco
38,Mateus Lima,39,Sao Paulo
39,Helena Duarte,22,Rio De Janeiro
40,Pedro Henrique,31,Belo Horizonte
